S0		A0		S1		S2		S3		S4		A1		A2		A3		A4	
316  Points		313  Points		263  Points		183  Points		155  Points		106  Points		286  Points		227  Points		159  Points		122  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
3.01303	3.43354	2.56264	2.82972	4.99032	5.70169	5.90638	6.75441	7.27353	8.3646	9.79847	10.4761	4.25925	4.89289	5.80712	6.64398	7.66214	8.77462	9.06664	9.69087
3.03622	3.41802	2.59702	2.83399	5.03784	5.68603	5.94809	6.71937	7.29989	8.29224	9.81245	10.3716	4.28623	4.86373	5.84324	6.60396	7.68536	8.70766	9.09417	9.60971
3.05961	3.40311	2.63138	2.83814	5.08475	5.67008	5.99017	6.6856	7.32677	8.22222	9.8266	10.2697	4.31292	4.83494	5.87981	6.56541	7.71202	8.63256	9.12211	9.53081
3.08321	3.38878	2.66571	2.84216	5.13103	5.65381	6.03264	6.65304	7.35418	8.15445	9.84094	10.1703	4.33932	4.80652	5.91681	6.52823	7.73869	8.55926	9.14679	9.46382
3.10701	3.375	2.70002	2.84607	5.17665	5.6372	6.0755	6.62169	7.3821	8.08884	9.85546	10.0732	4.36546	4.77849	5.95419	6.49236	7.76538	8.48771	9.16806	9.40798
3.13101	3.36175	2.7343	2.84987	5.2216	5.62024	6.11879	6.59152	7.41053	8.02532	9.87016	9.97841	4.39136	4.75085	5.99194	6.4577	7.7921	8.41785	9.18582	9.36266
3.1552	3.34901	2.76856	2.85355	5.26584	5.60294	6.16251	6.56251	7.43948	7.96381	9.88506	9.88587	4.41703	4.7236	6.03002	6.4242	7.81885	8.34963	9.19997	9.32736
3.17959	3.33676	2.8028	2.85714	5.30937	5.58527	6.20668	6.53462	7.46893	7.90424	9.90015	9.79548	4.44249	4.69675	6.0684	6.39177	7.84564	8.28301	9.21043	9.3017
3.20416	3.32497	2.83702	2.86062	5.35217	5.56724	6.2513	6.50783	7.49888	7.84653	9.91543	9.7072	4.46776	4.6703	6.10706	6.36036	7.87248	8.21793	9.21715	9.28541
3.22891	3.31364	2.87121	2.864	5.39423	5.54885	6.29639	6.48211	7.52932	7.79061	9.92892	9.63193	4.49285	4.64426	6.14596	6.3299	7.89938	8.15436	9.22684	9.26216
3.25385	3.30274	2.90538	2.86729	5.43556	5.53011	6.34194	6.45743	7.56025	7.73643	9.94054	9.56896	4.51778	4.61863	6.18509	6.30034	7.92634	8.09225	9.23742	9.23713
3.27896	3.29225	2.93952	2.87049	5.47613	5.51102	6.38796	6.43375	7.59166	7.68392	9.95023	9.51769	4.54257	4.59341	6.22441	6.27161	7.95338	8.03157	9.25189	9.20347
3.30424	3.28215	2.97365	2.8736	5.51597	5.49161	6.43444	6.41105	7.62355	7.63301	9.95796	9.47767	4.56722	4.5686	6.2639	6.24366	7.9805	7.97228	9.27032	9.16153
3.3297	3.27244	3.00775	2.87663	5.55506	5.47187	6.48139	6.38928	7.6559	7.58364	9.96367	9.44853	4.59176	4.5442	6.30352	6.21644	8.00772	7.91435	9.29279	9.11171
3.35532	3.26309	3.04183	2.87957	5.59342	5.45184	6.52878	6.36841	7.6887	7.53577	9.96734	9.43	4.61619	4.52022	6.34325	6.1899	8.03505	7.85774	9.3194	9.05451
3.3811	3.25409	3.07589	2.88243	5.63106	5.43152	6.57662	6.3484	7.72196	7.48934	9.97263	9.40354	4.64054	4.49665	6.38308	6.164	8.06249	7.80243	9.35027	8.99046
3.40704	3.24543	3.10992	2.88522	5.66799	5.41095	6.62488	6.32921	7.75566	7.44429	9.97841	9.37499	4.66481	4.4735	6.42296	6.13869	8.09006	7.74838	9.3815	8.92805
3.43313	3.23708	3.14394	2.88793	5.70422	5.39014	6.67356	6.3108	7.78979	7.40057	9.98632	9.33655	4.68901	4.45075	6.46288	6.11393	8.11778	7.69557	9.41306	8.86723
3.45938	3.22905	3.17793	2.89057	5.73979	5.36913	6.72262	6.29313	7.82435	7.35814	9.99639	9.28853	4.71316	4.42842	6.50281	6.08968	8.14565	7.64397	9.44495	8.80794
3.48577	3.22131	3.21191	2.89313	5.7747	5.34792	6.77207	6.27616	7.85933	7.31694	10.0087	9.23135	4.73726	4.40649	6.54274	6.06591	8.17368	7.59355	9.47717	8.75013
3.51231	3.21386	3.24586	2.89563	5.80897	5.32655	6.82186	6.25984	7.89472	7.27695			4.76133	4.38496	6.58262	6.04257	8.20189	7.5443	9.5097	8.69374
3.53899	3.20668	3.27979	2.89807	5.84263	5.30504	6.87198	6.24414	7.9305	7.2381			4.78538	4.36384	6.62246	6.01964	8.23029	7.49618	9.54253	8.63873
3.5658	3.19976	3.3137	2.90044	5.87571	5.28343	6.92241	6.22902	7.96669	7.20037			4.80941	4.34311	6.66222	5.99709	8.25889	7.44918	9.57567	8.58505
3.59275	3.19309	3.34759	2.90275	5.90822	5.26172	6.97311	6.21444	8.00325	7.16371			4.83343	4.32278	6.70187	5.97488	8.28771	7.40328	9.60909	8.53265
3.61983	3.18667	3.38146	2.90499	5.9402	5.23995	7.02407	6.20036	8.0402	7.12809			4.85746	4.30283	6.74141	5.95299	8.31675	7.35845	9.64279	8.48149
3.64704	3.18047	3.41531	2.90719	5.97166	5.21814	7.07525	6.18674	8.07752	7.09346			4.88149	4.28327	6.78081	5.93139	8.34602	7.31467	9.67677	8.43153
3.67437	3.1745	3.44914	2.90932	6.00263	5.19632	7.12664	6.17355	8.11521	7.05981			4.90554	4.26408	6.82006	5.91006	8.37555	7.27193	9.71101	8.38272
3.70182	3.16874	3.48295	2.9114	6.03313	5.1745	7.17819	6.16075	8.15325	7.02708			4.92961	4.24527	6.85912	5.88897	8.40533	7.2302	9.7455	8.33503
3.72939	3.16319	3.51674	2.91343	6.0632	5.1527	7.22989	6.14831	8.19165	6.99527			4.9537	4.22684	6.898	5.8681	8.43538	7.18946	9.78024	8.28842
3.75707	3.15783	3.55052	2.9154	6.09284	5.13095	7.2817	6.13619	8.2304	6.96433			4.97783	4.20876	6.93666	5.84744	8.46571	7.14971	9.81521	8.24285
3.78487	3.15266	3.58427	2.91733	6.1221	5.10926	7.33361	6.12436	8.26949	6.93423			5.002	4.19104	6.97511	5.82695	8.49633	7.11091	9.85042	8.19829
3.81278	3.14768	3.61801	2.9192	6.15098	5.08765	7.38557	6.11279	8.30893	6.90496			5.02621	4.17368	7.01331	5.80664	8.52725	7.07305	9.88584	8.1547
3.84079	3.14287	3.65172	2.92103	6.17951	5.06613	7.43756	6.10146	8.3487	6.87649			5.05047	4.15666	7.05125	5.78647	8.55847	7.03611	9.92148	8.11205
3.86891	3.13823	3.68542	2.92282	6.2077	5.04472	7.48957	6.09032	8.38881	6.84879			5.07478	4.13998	7.08893	5.76645	8.59	7.00007	9.95733	8.07031
3.89712	3.13375	3.7191	2.92455	6.23559	5.02343	7.54154	6.07936	8.42926	6.82184			5.09915	4.12364	7.12633	5.74654	8.62186	6.96492	9.99336	8.02945
3.92544	3.12943	3.75277	2.92625	6.26319	5.00227	7.59347	6.06855	8.47004	6.79563			5.12358	4.10763	7.16344	5.72674	8.65404	6.93063	10.0296	7.98944
3.95385	3.12525	3.78641	2.9279	6.29052	4.98127	7.64532	6.05786	8.51115	6.77014			5.14807	4.09194	7.20025	5.70705	8.68655	6.8972		
3.98236	3.12122	3.82004	2.92952	6.31759	4.96041	7.69706	6.04727	8.5526	6.74534			5.17262	4.07657	7.23674	5.68744	8.71939	6.86459		
4.01096	3.11733	3.85365	2.93109	6.34443	4.93972	7.74866	6.03675	8.59438	6.72122			5.19724	4.06152	7.27292	5.66791	8.75257	6.83279		
4.03964	3.11357	3.88724	2.93262	6.37105	4.91921	7.80011	6.02628	8.6365	6.69776			5.22194	4.04676	7.30878	5.64846	8.78608	6.80179		
4.06841	3.10994	3.92082	2.93412	6.39745	4.89888	7.85137	6.01584	8.67896	6.67496			5.2467	4.03231	7.3443	5.62908	8.81994	6.77156		
